Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
ILFSL,3.7,0.0,3.7,3.6,3.7,3.7,0.0,6,0.01,3681
INDEXAGRO,67.9,-1.16,68.3,67.7,67.9,68.7,-0.8,152,1.22,17895
INTECH,23.5,-1.26,24.2,23.2,23.5,23.8,-0.3,244,3.97,168618
INTRACO,21.7,-2.25,22.4,21.7,21.7,22.2,-0.5,704,23.87,1083014
IPDC,17.9,0.0,18.0,17.8,17.9,17.9,0.0,107,2.87,160412
ISLAMIBANK,44.6,-1.11,45.3,44.5,44.6,45.1,-0.5,299,8.29,185038
ISLAMICFIN,11.1,-0.89,11.4,11.1,11.1,11.2,-0.1,140,3.28,292646
ISLAMIINS,37.8,-0.26,38.7,37.8,37.8,37.9,-0.1,15,0.21,5548
ISNLTD,41.1,-1.44,43.8,41.1,41.1,41.7,-0.6,100,1.54,37080
ITC,38.0,0.0,38.2,37.8,38.0,38.0,0.0,174,4.97,130839
JAMUNABANK,19.4,-0.51,19.5,19.4,19.4,19.5,-0.1,72,6.81,350790
JAMUNAOIL,175.5,-0.17,176.0,175.5,175.5,175.8,-0.3,87,1.39,7893
JANATAINS,24.9,-0.4,25.5,24.9,24.9,25.0,-0.1,35,0.26,10547
JHRML,53.2,-0.93,54.1,53.1,53.2,53.7,-0.5,280,5.75,107038
JMISMDL,136.4,-0.58,138.5,136.0,136.4,137.2,-0.8,88,1.54,11296
JUTESPINN,233.8,5.03,234.7,224.0,233.8,222.6,11.2,8,0.05,205
KARNAPHULI,28.0,-0.36,28.3,27.9,28.0,28.1,-0.1,72,1.59,56574
KAY&QUE,192.1,-0.57,196.0,192.1,192.1,193.2,-1.1,124,2.21,11439
KBPPWBIL,156.0,-1.14,159.5,155.0,156.0,157.8,-1.8,673,24.13,152578
KBSEED,9.3,-1.06,9.5,9.3,9.3,9.4,-0.1,6,0.07,7230
KDSALTD,43.7,3.31,44.6,42.4,43.7,42.3,1.4,1622,63.47,1457091
KEYACOSMET,4.9,0.0,5.0,4.8,4.9,4.9,0.0,102,1.45,296638
KFL,16.0,-0.62,16.5,15.6,16.0,16.1,-0.1,32,0.16,9791
KOHINOOR,522.5,-0.06,527.9,520.6,522.5,522.8,-0.3,333,11.74,22333
KPCL,13.8,0.0,14.1,13.7,13.8,13.8,0.0,110,0.84,60383
KPPL,24.2,-2.81,25.8,24.1,24.2,24.9,-0.7,961,15.92,637368
KTL,12.4,-3.88,13.0,12.4,12.4,12.9,-0.5,496,17.05,1339157
LANKABAFIN,17.5,0.0,17.7,17.4,17.5,17.5,0.0,159,3.29,188109
LEGACYFOOT,58.1,0.17,59.3,58.0,58.1,58.0,0.1,211,3.08,52639
LHB,49.9,-0.2,50.1,49.7,49.9,50.0,-0.1,182,6.38,127959
LIBRAINFU,822.0,3.49,843.0,799.9,822.0,794.3,27.7,927,11.96,14476
LINDEBD,1042.7,7.01,1047.4,977.0,1042.7,974.4,68.3,2707,112.4,108303
LOVELLO,79.8,-2.8,83.3,77.0,79.8,82.1,-2.3,760,28.23,347822
LRBDL,15.8,0.0,16.0,15.7,15.8,15.8,0.0,212,2.47,155657
LRGLOBMF1,3.1,-3.13,3.2,3.1,3.1,3.2,-0.1,10,0.14,43501
MAKSONSPIN,7.3,0.0,7.4,7.1,7.3,7.3,0.0,68,1.1,151714
MALEKSPIN,26.2,0.0,26.3,26.0,26.2,26.2,0.0,258,8.08,309191
MAMUNAGRO,30.1,-5.64,31.9,30.1,30.1,31.9,-1.8,231,9.04,291235
MARICO,2369.0,-0.41,2380.0,2351.5,2369.0,2378.7,-9.7,134,6.06,2560
MASTERAGRO,6.8,0.0,6.9,6.7,6.8,6.8,0.0,16,0.12,17908
MATINSPINN,45.7,-0.65,46.2,45.6,45.7,46.0,-0.3,114,2.36,51613
MBL1STMF,4.0,2.56,4.0,4.0,4.0,3.9,0.1,2,0.0,405
