Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
UPGDCL,122.0,-1.53,124.8,121.1,122.0,123.9,-1.9,184,2.03,16695
USMANIAGL,37.0,-1.6,37.2,37.0,37.0,37.6,-0.6,3,0.0,85
UTTARABANK,24.5,0.0,24.7,24.5,24.5,24.5,0.0,102,13.56,551878
UTTARAFIN,15.4,1.32,16.3,15.3,15.4,15.2,0.2,4,0.01,936
VAMLBDMF1,5.7,0.0,5.8,5.7,5.7,5.7,0.0,6,0.08,14370
VAMLRBBF,4.4,0.0,4.5,4.4,4.4,4.4,0.0,7,0.14,30500
VFSTDL,9.4,-3.09,10.2,9.3,9.4,9.7,-0.3,554,11.11,1125862
WALTONHIL,469.5,-0.13,472.6,468.6,469.5,470.1,-0.6,192,3.31,7021
WATACHEM,117.0,-2.26,124.5,117.0,117.0,119.7,-2.7,107,2.19,18435
WEBCOATS,13.8,0.0,15.0,13.5,13.8,13.8,0.0,52,0.12,8954
WMSHIPYARD,9.8,0.0,9.9,9.7,9.8,9.8,0.0,118,1.96,200103
WONDERTOYS,23.8,3.03,25.3,21.8,23.8,23.1,0.7,6,0.01,256
YPL,12.8,-3.03,13.5,12.8,12.8,13.2,-0.4,156,2.43,187802
YUSUFLOUR,2025.0,-10.0,2025.0,2025.0,2025.0,2250.0,-225.0,2,0.0,2
ZAHEENSPIN,7.5,-2.6,7.8,7.5,7.5,7.7,-0.2,249,5.9,776496
ZAHINTEX,5.2,0.0,5.3,5.2,5.2,5.2,0.0,22,0.27,51412
ZEALBANGLA,84.9,-1.39,86.3,84.9,84.9,86.1,-1.2,42,0.3,3486
